,page,doctorate,len_page,female,male,category,count,nobel_field
15428,William M. Fairbank,0,1185,False,True,20th-century_physicists,1,Physics
15429,Wilhelm Schüffner,0,698,False,True,Microbiologists,1,Physiology or Medicine
15430,Frank F. Fang,0,1273,False,True,20th-century_physicists,1,Physics
15431,Max Schultze,0,1323,False,True,Microbiologists,1,Physiology or Medicine
15432,William George Fastie,0,1343,False,True,20th-century_physicists,1,Physics
15433,Karl Stetter,0,1092,False,True,Microbiologists,1,Physiology or Medicine
15434,Gerald Feinberg,0,17556,False,True,20th-century_physicists,1,Physics
15435,August von Wassermann,0,394,False,True,Microbiologists,1,Physiology or Medicine
15436,Enrico Fermi,0,657,False,True,20th-century_physicists,1,Physics
15437,Wolfgang Weimershaus,0,745,False,True,Microbiologists,1,Physiology or Medicine
15438,Sidney Fernbach,1,1938,False,True,20th-century_physicists,1,Physics
15439,Seung-Yong Seong,0,2015,False,True,Microbiologists,1,Physiology or Medicine
15440,Herman Feshbach,1,21914,False,True,20th-century_physicists,1,Physics
15441,Yu Myeong-Hee,0,2121,True,False,Microbiologists,1,Physiology or Medicine
15442,Richard Feynman,1,1197,False,True,20th-century_physicists,1,Physics
15443,Alexander Wienerberger,0,2014,False,True,20th-century_chemists,1,Chemistry
15444,Edward L. Fireman,1,1618,False,True,20th-century_physicists,1,Physics
15445,Erna Daugaviete,0,820,True,False,20th-century_chemists,1,Chemistry
15446,Floyd Firestone,1,1339,False,True,20th-century_physicists,1,Physics
15447,Victor Gankin,0,1834,False,True,20th-century_chemists,1,Chemistry
15448,John W. Firor,1,1017,False,True,20th-century_physicists,1,Physics
15449,Viktor Kogan,0,917,False,True,20th-century_chemists,1,Chemistry
15450,Stanley Martin Flatté,1,3635,False,True,20th-century_physicists,1,Physics
15451,Harvey Fletcher,1,837,False,True,20th-century_physicists,1,Physics
15452,Ayaz Mutallibov,0,2429,False,True,20th-century_chemists,1,Chemistry
15453,Joseph Ford (physicist),0,737,False,True,20th-century_physicists,1,Physics
15454,Vsevolod Perekalin,0,932,False,True,20th-century_chemists,1,Chemistry
15455,William E. Forsythe,0,2100,False,True,20th-century_physicists,1,Physics
15456,Robert L. Forward,0,706,False,True,20th-century_physicists,1,Physics
15457,Abid Sadykov,0,1192,False,True,20th-century_chemists,1,Chemistry
15458,Clarence Max Fowler,0,2119,False,True,20th-century_physicists,1,Physics
15459,Vyacheslav Tishchenko,0,1255,False,True,20th-century_chemists,1,Chemistry
15460,J. G. Fox,0,2038,False,True,20th-century_physicists,1,Physics
15461,Stan Frankel,0,715,False,True,20th-century_physicists,1,Physics
15462,Viktor Zhdanov,0,1115,False,True,20th-century_physicians,1,Physiology or Medicine
15463,Peter Franken,0,1482,False,True,20th-century_physicists,1,Physics
15464,Ernest Macalpine Armstrong,0,1377,False,True,21st-century_physicians,1,Physiology or Medicine
15465,Judy R. Franz,0,686,False,True,20th-century_physicists,1,Physics
15466,Harry Burns (doctor),0,1538,False,True,21st-century_physicians,1,Physiology or Medicine
15467,Phyllis S. Freier,0,700,False,True,20th-century_physicists,1,Physics
15468,John Callender (psychiatrist),0,742,False,True,21st-century_physicians,1,Physiology or Medicine
15469,Simeon Adlow Friedberg,0,1233,False,True,20th-century_physicists,1,Physics
15470,Graeme Catto,0,2233,False,True,21st-century_physicians,1,Physiology or Medicine
15471,Erwin Friedlander,1,2766,False,True,20th-century_physicists,1,Physics
15472,Kenny Deuchar,0,2898,False,True,21st-century_physicians,1,Physiology or Medicine
15473,Francis Lee Friedman,0,1473,False,True,20th-century_physicists,1,Physics
15474,Neil Douglas (physician),0,948,False,True,21st-century_physicians,1,Physiology or Medicine
15475,Herbert Friedman,1,2965,False,True,20th-century_physicists,1,Physics
15476,Gavin Francis,0,1592,False,True,21st-century_physicians,1,Physiology or Medicine
15477,John Gillies (doctor),0,1608,False,True,21st-century_physicians,1,Physiology or Medicine
15478,David H. Frisch,1,1962,False,True,20th-century_physicists,1,Physics
15479,Ian Greer (obstetrician),0,1389,False,True,21st-century_physicians,1,Physiology or Medicine
15480,Darol Froman,1,1149,False,True,20th-century_physicists,1,Physics
15481,Stewart Hillis,0,2044,False,True,21st-century_physicians,1,Physiology or Medicine
15482,Wendell H. Furry,1,1312,False,True,20th-century_physicists,1,Physics
15483,Janusz Jankowski,0,2308,False,True,21st-century_physicians,1,Physiology or Medicine
15484,Harold Fürth,0,1332,True,False,20th-century_physicists,1,Physics
15485,Brian Keighley,0,1497,False,True,21st-century_physicians,1,Physiology or Medicine
15486,Grant O. Gale,0,1698,True,False,20th-century_physicists,1,Physics
15487,David Kerr (oncologist),0,2624,False,True,21st-century_physicians,1,Physiology or Medicine
15488,Miles Mack,0,1203,False,True,21st-century_physicians,1,Physiology or Medicine
15489,Eugene Gardner,0,316,False,True,20th-century_physicists,1,Physics
15490,Rona MacKie,0,608,True,False,21st-century_physicians,1,Physiology or Medicine
15491,Irvine Clifton Gardner,1,2460,True,False,20th-century_physicists,1,Physics
15492,Fanny Gates,1,1881,False,True,20th-century_physicists,1,Physics
15493,Keith McAdam,0,1174,False,True,21st-century_physicians,1,Physiology or Medicine
15494,Gerry McCann,0,29281,False,True,21st-century_physicians,1,Physiology or Medicine
15495,Andrew Gemant,0,875,False,True,20th-century_physicists,1,Physics
15496,Margaret McCartney,0,3612,True,False,21st-century_physicians,1,Physiology or Medicine
15497,Lester Germer,0,558,False,True,20th-century_physicists,1,Physics
15498,James Morton (baker),0,1059,False,True,21st-century_physicians,1,Physiology or Medicine
15499,Donald Ginsberg,1,1531,False,True,20th-century_physicists,1,Physics
15500,Andrew Murray (doctor),0,1375,False,True,21st-century_physicians,1,Physiology or Medicine
15501,Edward Ginzton,1,4199,False,True,20th-century_physicists,1,Physics
15502,Robin Murray,0,1603,False,True,21st-century_physicians,1,Physiology or Medicine
15503,Donald A. Glaser,0,2897,False,True,20th-century_physicists,1,Physics
15504,Chris Oliver (surgeon),0,1391,False,True,21st-century_physicians,1,Physiology or Medicine
15505,G. N. Glasoe,0,2532,True,False,20th-century_physicists,1,Physics
15506,Guy Perrett,0,1692,False,True,21st-century_physicians,1,Physiology or Medicine
15507,Robert H. Goddard,1,1630,False,True,20th-century_physicists,1,Physics
15508,William Richmond (biochemist),0,710,False,True,21st-century_physicians,1,Physiology or Medicine
15509,E. Mark Gold,0,1537,True,False,20th-century_physicists,1,Physics
15510,Lewis Ritchie,0,1315,False,True,21st-century_physicians,1,Physiology or Medicine
15511,Thomas T. Goldsmith Jr.,1,1123,False,True,20th-century_physicists,1,Physics
15512,Gregor Smith,0,917,False,True,21st-century_physicians,1,Physiology or Medicine
15513,Herbert Goldstein,0,267,False,True,20th-century_physicists,1,Physics
15514,"Ian Smith (footballer, born 1952)",0,1020,False,True,21st-century_physicians,1,Physiology or Medicine
15515,Ladislas Goldstein,1,728,False,True,20th-century_physicists,1,Physics
15516,Frank Sullivan (medical doctor),0,1000,False,True,21st-century_physicians,1,Physiology or Medicine
15517,Myron L. Good,1,8504,False,True,20th-century_physicists,1,Physics
15518,Hugh Whyte,0,783,False,True,21st-century_physicians,1,Physiology or Medicine
15519,Melvin B. Gottlieb,1,1594,False,True,20th-century_physicists,1,Physics
15520,Sameer Zuberi (physician),0,698,False,True,21st-century_physicians,1,Physiology or Medicine
15521,Samuel Goudsmit,1,1327,False,True,20th-century_physicists,1,Physics
15522,Roy W. Gould,1,1070,False,True,20th-century_physicists,1,Physics
15523,Lourens Baas Becking,0,1621,False,True,Microbiologists,1,Physiology or Medicine
15524,Martinus Beijerinck,0,2430,False,True,Microbiologists,1,Physiology or Medicine
15525,Paul Grant (physicist),1,3152,False,True,20th-century_physicists,1,Physics
15526,Elisabeth Bik,1,3043,True,False,Microbiologists,1,Physiology or Medicine
15527,Alvin C. Graves,0,3672,True,False,20th-century_physicists,1,Physics
15528,Hans Cohen,0,1401,False,True,Microbiologists,1,Physiology or Medicine
15529,Elizabeth Riddle Graves,1,1523,True,False,20th-century_physicists,1,Physics
15530,Mark van der Giezen,0,1239,False,True,Microbiologists,1,Physiology or Medicine
15531,Mike Jetten,0,763,False,True,Microbiologists,1,Physiology or Medicine
15532,John M. Greene,1,3327,True,False,20th-century_physicists,1,Physics
15533,Albert Kluyver,0,1577,False,True,Microbiologists,1,Physiology or Medicine
15534,Kenneth Greisen,1,1416,False,True,20th-century_physicists,1,Physics
15535,Gijs Kuenen,0,627,False,True,Microbiologists,1,Physiology or Medicine
15536,Robert Griffiths (physicist),1,1092,False,True,20th-century_physicists,1,Physics
15537,C. B. van Niel,0,3385,False,True,Microbiologists,1,Physiology or Medicine
15538,Eugene P. Gross,0,921,False,True,20th-century_physicists,1,Physics
15539,Hermann A. Grunder,1,1044,False,True,20th-century_physicists,1,Physics
15540,Ronald Plasterk,0,6625,False,True,Microbiologists,1,Physiology or Medicine
15541,Willem van Schaik,0,811,False,True,Microbiologists,1,Physiology or Medicine
15542,Ross Gunn,1,1113,False,True,20th-century_physicists,1,Physics
15543,Ad Stouthamer,0,802,False,True,Microbiologists,1,Physiology or Medicine
15544,Eugene Guth,1,978,False,True,20th-century_physicists,1,Physics
15545,Françoise Gisou van der Goot,0,1620,True,False,Microbiologists,1,Physiology or Medicine
